               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081409,            0.051298,            0.044389,                   0,                   0,                   0,                   0,                   0,            0.013626,                   0,            0.070068,           0.0033258,           0.0033258
                   1,            0.065409,            0.046028,            0.021461,                   0,                   0,                   0,                   0,                   0,            0.013848,                   0,            0.039848,           0.0064394,           0.0064394
                   2,            0.062263,            0.045596,            0.016424,                   0,                   0,                   0,                   0,                   0,            0.010607,                   0,           0.0094082,            0.009333,            0.009333
                   3,             0.05933,            0.045626,            0.014677,                   0,                   0,                   0,                   0,                   0,           0.0088372,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.057105,            0.045262,             0.01341,                   0,                   0,                   0,                   0,                   0,              0.0128,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.055454,            0.044735,            0.011868,                   0,                   0,                   0,                   0,                   0,           0.0097198,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.054915,            0.043926,            0.012083,                   0,                   0,                   0,                   0,                   0,             0.01199,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.053863,            0.044371,            0.011144,                   0,                   0,                   0,                   0,                   0,            0.010057,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.053524,            0.043951,            0.010711,                   0,                   0,                   0,                   0,                   0,            0.010786,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.052765,            0.043708,            0.010203,                   0,                   0,                   0,                   0,                   0,            0.011873,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.052096,            0.042377,            0.009655,                   0,                   0,                   0,                   0,                   0,            0.013402,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.051732,            0.042828,           0.0097982,                   0,                   0,                   0,                   0,                   0,            0.012358,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.051324,            0.042788,           0.0092147,                   0,                   0,                   0,                   0,                   0,            0.014243,                   0,             0.00637,             0.00637,             0.00637
                  13,            0.051025,            0.042154,           0.0088906,                   0,                   0,                   0,                   0,                   0,            0.011952,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.050545,            0.042657,           0.0090778,                   0,                   0,                   0,                   0,                   0,            0.011973,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.050191,            0.042479,            0.008455,                   0,                   0,                   0,                   0,                   0,            0.014356,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.049999,            0.041904,           0.0082321,                   0,                   0,                   0,                   0,                   0,            0.012823,                   0,             0.00505,             0.00505,             0.00505
                  17,             0.04965,            0.042093,           0.0079735,                   0,                   0,                   0,                   0,                   0,            0.011053,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.049101,            0.041488,           0.0078931,                   0,                   0,                   0,                   0,                   0,             0.01368,                   0,             0.00439,             0.00439,             0.00439
